,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ZEC-USD,0.1389163051041062,4.0
1,UMA-USD,AAVE-USD,0.033233833853347564,14.0
2,UMA-USD,ETC-USD,0.13035123885400365,5.0
3,UMA-USD,XTZ-USD,3.1244623418565496,7.0
4,UMA-USD,LINK-USD,0.21980084688510007,4.0
5,UMA-USD,RUNE-USD,0.4637521920901592,8.0
6,UMA-USD,COMP-USD,0.0535186490942014,9.0
7,UMA-USD,ALGO-USD,15.538142506882082,8.0
8,UMA-USD,FIL-USD,0.44793705095012215,9.0
9,UMA-USD,CELO-USD,3.31514894878474,9.0
10,UMA-USD,1INCH-USD,7.1584949112803695,7.0
11,UMA-USD,SUSHI-USD,2.3280776227116675,10.0
12,UMA-USD,XLM-USD,30.842041803769945,15.0
13,UMA-USD,ATOM-USD,0.3418665964487215,10.0
14,UMA-USD,LTC-USD,0.04693369253361333,15.0
15,ZEC-USD,AAVE-USD,0.2386050368242368,3.0
16,ZEC-USD,ETC-USD,0.9354404242059114,2.0
17,ZEC-USD,XTZ-USD,22.417228592941086,3.0
18,ZEC-USD,LINK-USD,1.5780083756609424,2.0
19,ZEC-USD,RUNE-USD,3.3277105111669076,3.0
20,ZEC-USD,FIL-USD,3.2146773582267376,3.0
21,ZEC-USD,1INCH-USD,51.366839883823815,3.0
22,ZEC-USD,UNI-USD,2.4137520594379813,3.0
23,ZEC-USD,XLM-USD,221.40217224930993,3.0
24,ZEC-USD,EOS-USD,28.573542872328417,3.0
25,AAVE-USD,ETC-USD,3.9177715359464402,3.0
26,AAVE-USD,XTZ-USD,93.90342094591585,9.0
27,AAVE-USD,LINK-USD,6.611328329676136,2.0
28,AAVE-USD,RUNE-USD,13.93647836781655,10.0
29,AAVE-USD,COMP-USD,1.6080861659944516,14.0
30,AAVE-USD,ALGO-USD,466.6771130500363,16.0
31,AAVE-USD,FIL-USD,13.463325529536942,10.0
32,AAVE-USD,CRV-USD,175.241390235433,18.0
33,AAVE-USD,NEAR-USD,17.371759551951406,11.0
34,AAVE-USD,CELO-USD,99.42383106156694,22.0
35,AAVE-USD,1INCH-USD,215.17604431287967,7.0
36,AAVE-USD,ETH-USD,0.034990185327637494,2.0
37,AAVE-USD,XLM-USD,927.5631072208506,9.0
38,AAVE-USD,EOS-USD,119.70284620891758,6.0
39,AAVE-USD,ATOM-USD,10.278330606687945,7.0
40,ETC-USD,XTZ-USD,23.955610521210033,2.0
41,ETC-USD,LINK-USD,1.6858582923748202,2.0
42,ETC-USD,XMR-USD,0.22815835060866602,9.0
43,ETC-USD,YFI-USD,0.003480544549236352,2.0
44,ETC-USD,RUNE-USD,3.553752155839173,5.0
45,ETC-USD,ALGO-USD,119.04055149082915,6.0
46,ETC-USD,FIL-USD,3.4352378856931294,2.0
47,ETC-USD,NEAR-USD,4.426045498958992,9.0
48,ETC-USD,1INCH-USD,54.882409940415734,2.0
49,ETC-USD,XLM-USD,236.61137559572455,2.0
50,XTZ-USD,LINK-USD,0.07035985593394667,2.0
51,XTZ-USD,RUNE-USD,0.1483426925806351,10.0
52,XTZ-USD,COMP-USD,0.017125612241892067,7.0
53,XTZ-USD,FIL-USD,0.14335377996128068,6.0
54,XTZ-USD,BTC-USD,1.970612594153481e-05,6.0
55,XTZ-USD,CELO-USD,1.0599616352091836,14.0
56,XTZ-USD,1INCH-USD,2.2906743537020904,5.0
57,XTZ-USD,XLM-USD,9.873026757741496,10.0
58,XTZ-USD,EOS-USD,1.2742232455955906,7.0
59,LINK-USD,RUNE-USD,2.1053774525019673,3.0
60,LINK-USD,COMP-USD,0.24301357020064868,3.0
61,LINK-USD,ALGO-USD,70.52005945546637,4.0
62,LINK-USD,FIL-USD,2.0348328157934557,2.0
63,LINK-USD,CRV-USD,26.479821573200685,4.0
64,LINK-USD,NEAR-USD,2.625373827168386,4.0
65,LINK-USD,BTC-USD,0.00027998345555881114,1.0
66,LINK-USD,CELO-USD,15.030978029274701,7.0
67,LINK-USD,1INCH-USD,32.51617204515772,2.0
68,LINK-USD,SUSHI-USD,10.577544817849262,2.0
69,LINK-USD,XLM-USD,140.21339565534885,1.0
70,LINK-USD,EOS-USD,18.09054057260376,2.0
71,LINK-USD,ATOM-USD,1.5534544553997853,1.0
72,LINK-USD,LTC-USD,0.21333439505632004,2.0
73,XMR-USD,YFI-USD,0.015217084926791684,17.0
74,XMR-USD,TRX-USD,1137.5500625252193,10.0
75,XMR-USD,DOT-USD,14.190528124256815,22.0
76,XMR-USD,ADA-USD,208.10745251744964,22.0
77,XMR-USD,SUSHI-USD,78.00475750461563,23.0
78,XMR-USD,UNI-USD,11.261289746611343,4.0
79,XMR-USD,ETH-USD,0.03902066062784296,3.0
80,XMR-USD,XLM-USD,1034.2931595823388,18.0
81,XMR-USD,EOS-USD,133.41854473598968,12.0
82,YFI-USD,RUNE-USD,1020.401670511986,13.0
83,YFI-USD,COMP-USD,117.83007807277785,11.0
84,YFI-USD,FIL-USD,986.4325787941576,7.0
85,YFI-USD,TRX-USD,74667.94760131242,11.0
